货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布日期,发布时间
阿联酋迪拉姆,196.46,190.25,197.84,201.43,194.27,2024.04.11 21:49:05,21:49:05
澳大利亚元,471.87,462.77,475.03,476.4,466.01,2024.04.11 21:49:05,21:49:05
巴西里亚尔,,136.85,,155.38,142.88,2024.04.11 21:49:05,21:49:05
加拿大元,527.42,517.25,530.96,532.49,522.45,2024.04.11 21:49:05,21:49:05
瑞士法郎,792.04,776.94,797.6,799.83,782.54,2024.04.11 21:49:05,21:49:05
丹麦克朗,103.78,101.8,104.62,105.12,102.4,2024.04.11 21:49:05,21:49:05
欧元,774.66,759.33,780.09,782.11,766.9,2024.04.11 21:49:05,21:49:05
英镑,906.22,888.29,912.29,914.93,895.48,2024.04.11 21:49:05,21:49:05
港币,92.23,91.75,92.58,92.58,90.58,2024.04.11 21:49:05,21:49:05
印尼卢比,0.0455,0.0441,0.046,0.0476,0.0457,2024.04.11 21:49:05,21:49:05
印度卢比,,8.1683,,9.2111,8.6811,2024.04.11 21:49:05,21:49:05
日元,4.7144,4.6235,4.746,4.7479,4.6778,2024.04.11 21:49:05,21:49:05
韩国元,0.5273,0.517,0.5315,0.5399,0.5279,2024.04.11 21:49:05,21:49:05
澳门元,89.57,88.78,89.93,90.85,89.77,2024.04.11 21:49:05,21:49:05
林吉特,151.97,,153.34,,149.63,2024.04.11 21:49:05,21:49:05
挪威克朗,66.63,65.36,67.17,67.49,65.84,2024.04.11 21:49:05,21:49:05
新西兰元,432.88,424.63,435.88,437.79,428.62,2024.04.11 21:49:05,21:49:05
菲律宾比索,12.75,12.38,12.91,13.35,12.81,2024.04.11 21:49:05,21:49:05
卢布,7.61,7.59,7.93,8.28,7.68,2024.04.11 21:49:05,21:49:05
沙特里亚尔,,187.65,,198.39,190.19,2024.04.11 21:49:05,21:49:05
瑞典克朗,67.12,65.84,67.66,67.98,66.63,2024.04.11 21:49:05,21:49:05
新加坡元,533.32,523.15,537.01,538.56,526.99,2024.04.11 21:49:05,21:49:05
泰国铢,19.75,19.34,19.91,20.22,19.57,2024.04.11 21:49:05,21:49:05
土耳其里拉,22.35,21.26,22.53,25.87,22.09,2024.04.11 21:49:05,21:49:05
新台币,,21.71,,22.94,22.51,2024.04.11 21:49:05,21:49:05
美元,722.64,718.93,725.52,725.52,709.68,2024.04.11 21:49:05,21:49:05
南非兰特,38.51,35.55,38.77,41.8,37.93,2024.04.11 21:49:05,21:49:05
